path,module,backend,lines,layout,styleBlocks,inlineStyles,important,hexColors,tables,modals,responsive,plugins,references,referencedBy,legacyAttributeCandidate
"resources/views/backend/disciplinary/cases/index.blade.php","disciplinary","true","57","layouts/layoutMaster","0","0","0","0","1","0","true","","3","app/Http/Controllers/Backend/DisciplinaryCaseController.php;routes/web.php;resources/views/backend/superadmin/index.blade.php","false"
"resources/views/backend/disciplinary/cases/show.blade.php","disciplinary","true","49","layouts/layoutMaster","0","3","0","0","0","0","true","","3","app/Http/Controllers/Backend/DisciplinaryCaseController.php;routes/web.php;resources/views/backend/disciplinary/cases/index.blade.php","false"
"resources/views/backend/disciplinary/create.blade.php","disciplinary","true","160","layouts/layoutMaster","0","0","0","0","0","0","true","select2","5","app/Http/Controllers/Backend/DisciplinaryController.php;routes/web.php;resources/views/backend/disciplinary/index.blade.php;resources/views/backend/disciplinary/player.blade.php;resources/views/multiend/player_profile.blade.php","false"
"resources/views/backend/disciplinary/edit.blade.php","disciplinary","true","148","layouts/layoutMaster","0","0","0","0","0","0","true","select2","1","app/Http/Controllers/Backend/DisciplinaryController.php","false"
"resources/views/backend/disciplinary/index.blade.php","disciplinary","true","179","layouts/layoutMaster","0","0","0","0","1","0","true","datatable;select2","6","app/Http/Controllers/Backend/DisciplinaryController.php;routes/web.php;resources/views/backend/disciplinary/create.blade.php;resources/views/backend/disciplinary/player.blade.php;resources/views/backend/disciplinary/settings.blade.php;resources/views/backend/superadmin/index.blade.php","false"
"resources/views/backend/disciplinary/player.blade.php","disciplinary","true","276","layouts/layoutMaster","0","2","0","0","2","1","true","","5","app/Http/Controllers/Backend/DisciplinaryController.php;routes/web.php;resources/views/backend/disciplinary/edit.blade.php;resources/views/backend/disciplinary/index.blade.php;resources/views/backend/superadmin/index.blade.php","false"
"resources/views/backend/disciplinary/settings.blade.php","disciplinary","true","280","layouts/layoutMaster","0","1","0","0","2","0","true","select2","4","app/Http/Controllers/Backend/DisciplineSettingsController.php;routes/web.php;resources/views/backend/disciplinary/index.blade.php;resources/views/backend/superadmin/index.blade.php","false"
"resources/views/backend/disciplinary/_status_badge.blade.php","disciplinary","true","16","","0","0","0","0","0","0","false","","1","resources/views/backend/disciplinary/player.blade.php","false"
"resources/views/backend/draw/draw-settings.blade.php","draw","true","1","","0","0","0","0","0","0","false","","1","app/Http/Controllers/Backend/DrawController.php","false"
"resources/views/backend/draw/flexible-monrad.blade.php","draw","true","28","","0","0","0","0","0","0","false","","1","app/Http/Controllers/Backend/FlexibleMonradController.php","false"
"resources/views/backend/draw/flexible-workspace.blade.php","draw","true","75","layouts/contentNavbarLayout","0","2","0","0","0","0","true","","1","app/Http/Controllers/Backend/FlexibleMonradController.php","false"
"resources/views/backend/draw/formats/monrad.blade.php","draw","true","36","layouts.layoutMaster","0","2","0","2","0","0","false","","1","resources/views/backend/draw/show2.blade.php","false"
"resources/views/backend/draw/individual/cavaliersTrials.blade.php","draw","true","455","layouts/layoutMaster","0","0","0","2","2","4","true","datatable;select2;toastr;flatpickr;sortable","1","app/Http/Controllers/Backend/DrawController.php","false"
"resources/views/backend/draw/individual/draw-index-individual.blade.php","draw","true","135","layouts/layoutMaster","0","0","0","0","0","1","true","datatable;select2;toastr;sortable","1","app/Http/Controllers/Backend/DrawController.php","false"
"resources/views/backend/draw/individual/draw-show-individual.blade.php","draw","true","572","layouts/layoutMaster","0","1","1","3","3","3","true","datatable;select2;toastr;flatpickr;sortable","2","app/Http/Controllers/Backend/DrawController.php;app/Http/Controllers/Frontend/FrontFixtureController.php","false"
"resources/views/backend/draw/individual/interproDraw.blade.php","draw","true","185","layouts/contentNavbarLayout","1","0","25","10","1","0","false","","1","app/Http/Controllers/Frontend/FrontFixtureController.php","false"
"resources/views/backend/draw/individual/interproDrawConvenor.blade.php","draw","true","460","layouts/contentNavbarLayout","1","0","26","11","1","1","false","toastr;sortable;swal","1","app/Http/Controllers/Frontend/FrontFixtureController.php","false"
"resources/views/backend/draw/individual/simple-draw-layout.blade.php","draw","true","60","layouts/layoutMaster","0","0","0","0","1","0","true","","0","","false"
"resources/views/backend/draw/manage-players.blade.php","draw","true","80","layouts/layoutMaster","0","1","0","0","1","0","false","","1","app/Http/Controllers/Backend/DrawController.php","false"
"resources/views/backend/draw/manage.blade.php","draw","true","209","layouts/layoutMaster","0","6","0","2","0","0","true","toastr;sortable","2","app/Http/Controllers/Backend/DrawController.php;app/Http/Controllers/Backend/ManageDrawController.php","false"
"resources/views/backend/draw/partials/draw-players.blade.php","draw","true","26","","0","0","0","0","0","0","false","","1","app/Http/Controllers/Backend/DrawController.php","false"
"resources/views/backend/draw/partials/draw-preview.blade.php","draw","true","114","","0","0","0","0","1","0","true","","2","app/Http/Controllers/Backend/DrawController.php;resources/views/backend/draw/partials/tabs/roundrobin-preview.blade.php","false"
"resources/views/backend/draw/partials/flexible-monrad-editor.blade.php","draw","true","52","","0","0","0","0","0","0","false","","2","resources/views/backend/draw/flexible-monrad.blade.php;resources/views/backend/draw/flexible-workspace.blade.php","false"
"resources/views/backend/draw/partials/match-box.blade.php","draw","true","25","","0","0","0","0","0","0","false","","0","","false"
"resources/views/backend/draw/partials/playoff_svg.blade.php","draw","true","14","","0","0","0","0","0","0","false","","1","app/Http/Controllers/Backend/DrawController.php","false"
"resources/views/backend/draw/partials/roundrobin-matrix.blade.php","draw","true","226","","1","1","3","9","0","0","true","","1","resources/views/backend/draw/partials/draw-preview.blade.php","false"
"resources/views/backend/draw/partials/seeded-playoff-draw.blade.php","draw","true","128","","0","0","0","1","0","0","false","","2","app/Http/Controllers/Backend/DrawController.php;app/Services/DrawBuilder.php","false"
"resources/views/backend/draw/partials/single-box-matrix.blade.php","draw","true","142","","0","0","0","7","0","0","false","","1","app/Http/Controllers/Backend/DrawController.php","false"
"resources/views/backend/draw/partials/split-box-preview.blade.php","draw","true","16","","0","0","0","0","0","0","true","","1","app/Http/Controllers/Backend/DrawController.php","false"
"resources/views/backend/draw/partials/tabs/allboxes-preview.blade.php","draw","true","88","","0","0","0","0","1","0","true","","0","","false"
"resources/views/backend/draw/partials/tabs/playoff-2boxes-preview.blade.php","draw","true","223","","0","0","0","0","0","0","false","","0","","false"
"resources/views/backend/draw/partials/tabs/playoff-4boxes-preview.blade.php","draw","true","217","","0","0","0","0","0","0","false","","0","","false"
"resources/views/backend/draw/partials/tabs/roundrobin-preview.blade.php","draw","true","14","","0","0","0","0","0","0","false","","0","","false"
"resources/views/backend/draw/partials/venues_form.blade.php","draw","true","82","","0","0","0","0","0","0","true","select2","0","","false"
"resources/views/backend/draw/partials/workspace-header.blade.php","draw","true","56","","0","0","0","0","0","0","true","","5","resources/views/backend/draw/flexible-workspace.blade.php;resources/views/backend/draw/roundrobin/show.blade.php;resources/views/backend/draw/setup.blade.php;resources/views/backend/schedule/cavaliers-trials-schedule.blade.php;resources/views/backend/schedule/individual-schedule.blade.php","false"
"resources/views/backend/draw/partials/workspace-links.blade.php","draw","true","6","","0","0","0","0","0","0","false","","3","resources/views/backend/draw/setup.blade.php;resources/views/backend/schedule/cavaliers-trials-schedule.blade.php;resources/views/backend/schedule/individual-schedule.blade.php","false"
"resources/views/backend/draw/pdf/event-draws-pdf.blade.php","draw","true","238","","1","7","1","28","3","0","false","","1","app/Http/Controllers/Backend/HeadOfficeController.php","false"
