fixture_id,draw_id,match_status,round,stage,created_at,risk_note
2224,127,0,1,NULL,"2022-01-19 09:37:00","orphan — draw #127 no longer exists"
2225,127,0,2,NULL,"2022-01-19 09:37:00","orphan — draw #127 no longer exists"
2226,127,0,2,NULL,"2022-01-19 09:37:00","orphan — draw #127 no longer exists"
2227,127,0,2,NULL,"2022-01-19 09:37:00","orphan — draw #127 no longer exists"
2228,127,0,2,NULL,"2022-01-19 09:37:00","orphan — draw #127 no longer exists"
2229,127,0,2,NULL,"2022-01-19 09:37:00","orphan — draw #127 no longer exists"
2230,127,0,2,NULL,"2022-01-19 09:37:00","orphan — draw #127 no longer exists"
2231,127,0,2,NULL,"2022-01-19 09:37:00","orphan — draw #127 no longer exists"
2232,127,0,2,NULL,"2022-01-19 09:37:00","orphan — draw #127 no longer exists"
2233,127,0,3,NULL,"2022-01-19 09:37:00","orphan — draw #127 no longer exists"
2234,127,0,3,NULL,"2022-01-19 09:37:00","orphan — draw #127 no longer exists"
2235,127,0,3,NULL,"2022-01-19 09:37:00","orphan — draw #127 no longer exists"
2236,127,0,3,NULL,"2022-01-19 09:37:00","orphan — draw #127 no longer exists"
2237,127,0,4,NULL,"2022-01-19 09:37:00","orphan — draw #127 no longer exists"
2238,127,0,4,NULL,"2022-01-19 09:37:00","orphan — draw #127 no longer exists"
2239,127,0,5,NULL,"2022-01-19 09:37:00","orphan — draw #127 no longer exists"
2240,127,0,1,NULL,"2022-01-19 09:37:00","orphan — draw #127 no longer exists"
2241,127,0,1,NULL,"2022-01-19 09:37:00","orphan — draw #127 no longer exists"
2242,127,0,1,NULL,"2022-01-19 09:37:00","orphan — draw #127 no longer exists"
2243,127,0,1,NULL,"2022-01-19 09:37:00","orphan — draw #127 no longer exists"
2244,127,0,1,NULL,"2022-01-19 09:37:00","orphan — draw #127 no longer exists"
2245,127,0,1,NULL,"2022-01-19 09:37:00","orphan — draw #127 no longer exists"
2246,127,0,1,NULL,"2022-01-19 09:37:00","orphan — draw #127 no longer exists"
2247,127,0,1,NULL,"2022-01-19 09:37:00","orphan — draw #127 no longer exists"
2248,127,0,1,NULL,"2022-01-19 09:37:00","orphan — draw #127 no longer exists"
2249,127,0,2,NULL,"2022-01-19 09:37:00","orphan — draw #127 no longer exists"
2250,127,0,2,NULL,"2022-01-19 09:37:00","orphan — draw #127 no longer exists"
2251,127,0,2,NULL,"2022-01-19 09:37:00","orphan — draw #127 no longer exists"
2252,127,0,2,NULL,"2022-01-19 09:37:00","orphan — draw #127 no longer exists"
2253,127,0,2,NULL,"2022-01-19 09:37:00","orphan — draw #127 no longer exists"
2254,127,0,2,NULL,"2022-01-19 09:37:00","orphan — draw #127 no longer exists"
2255,127,0,2,NULL,"2022-01-19 09:37:01","orphan — draw #127 no longer exists"
2256,127,0,2,NULL,"2022-01-19 09:37:01","orphan — draw #127 no longer exists"
2257,127,0,3,NULL,"2022-01-19 09:37:01","orphan — draw #127 no longer exists"
2258,127,0,3,NULL,"2022-01-19 09:37:01","orphan — draw #127 no longer exists"
2259,127,0,3,NULL,"2022-01-19 09:37:01","orphan — draw #127 no longer exists"
2260,127,0,3,NULL,"2022-01-19 09:37:01","orphan — draw #127 no longer exists"
2261,127,0,4,NULL,"2022-01-19 09:37:01","orphan — draw #127 no longer exists"
2262,127,0,4,NULL,"2022-01-19 09:37:01","orphan — draw #127 no longer exists"
2263,127,0,4,NULL,"2022-01-19 09:37:01","orphan — draw #127 no longer exists"
2264,127,0,4,NULL,"2022-01-19 09:37:01","orphan — draw #127 no longer exists"
2265,127,0,5,NULL,"2022-01-19 09:37:01","orphan — draw #127 no longer exists"
2266,127,0,5,NULL,"2022-01-19 09:37:01","orphan — draw #127 no longer exists"
2267,127,0,6,NULL,"2022-01-19 09:37:01","orphan — draw #127 no longer exists"
2268,127,0,1,NULL,"2022-01-19 09:37:01","orphan — draw #127 no longer exists"
2269,127,0,1,NULL,"2022-01-19 09:37:01","orphan — draw #127 no longer exists"
2270,127,0,1,NULL,"2022-01-19 09:37:01","orphan — draw #127 no longer exists"
2271,127,0,2,NULL,"2022-01-19 09:37:01","orphan — draw #127 no longer exists"
2272,127,0,2,NULL,"2022-01-19 09:37:01","orphan — draw #127 no longer exists"
2273,127,0,1,NULL,"2022-01-19 09:37:01","orphan — draw #127 no longer exists"
2274,127,0,1,NULL,"2022-01-19 09:37:01","orphan — draw #127 no longer exists"
2275,127,0,2,NULL,"2022-01-19 09:37:01","orphan — draw #127 no longer exists"
2276,127,0,2,NULL,"2022-01-19 09:37:01","orphan — draw #127 no longer exists"
2277,127,0,1,NULL,"2022-01-19 09:37:01","orphan — draw #127 no longer exists"
2278,127,0,1,NULL,"2022-01-19 09:37:01","orphan — draw #127 no longer exists"
2279,127,0,1,NULL,"2022-01-19 09:37:01","orphan — draw #127 no longer exists"
2280,127,0,1,NULL,"2022-01-19 09:37:01","orphan — draw #127 no longer exists"
2281,127,0,2,NULL,"2022-01-19 09:37:01","orphan — draw #127 no longer exists"
2282,127,0,2,NULL,"2022-01-19 09:37:01","orphan — draw #127 no longer exists"
2283,127,0,3,NULL,"2022-01-19 09:37:01","orphan — draw #127 no longer exists"
2284,127,0,2,NULL,"2022-01-19 09:37:01","orphan — draw #127 no longer exists"
2285,127,0,2,NULL,"2022-01-19 09:37:01","orphan — draw #127 no longer exists"
2286,127,0,3,NULL,"2022-01-19 09:37:01","orphan — draw #127 no longer exists"
2287,127,0,3,NULL,"2022-01-19 09:37:01","orphan — draw #127 no longer exists"
2288,127,0,0,NULL,"2022-01-19 09:37:01","orphan — draw #127 no longer exists"
2289,127,0,1,NULL,"2022-01-19 09:37:01","orphan — draw #127 no longer exists"
2290,127,0,1,NULL,"2022-01-19 09:37:01","orphan — draw #127 no longer exists"
2291,127,0,1,NULL,"2022-01-19 09:37:01","orphan — draw #127 no longer exists"
2292,127,0,1,NULL,"2022-01-19 09:37:01","orphan — draw #127 no longer exists"
2293,127,0,2,NULL,"2022-01-19 09:37:01","orphan — draw #127 no longer exists"
2294,127,0,2,NULL,"2022-01-19 09:37:01","orphan — draw #127 no longer exists"
2295,127,0,3,NULL,"2022-01-19 09:37:01","orphan — draw #127 no longer exists"
2296,127,0,2,NULL,"2022-01-19 09:37:01","orphan — draw #127 no longer exists"
2297,127,0,2,NULL,"2022-01-19 09:37:01","orphan — draw #127 no longer exists"
2298,127,0,3,NULL,"2022-01-19 09:37:01","orphan — draw #127 no longer exists"
2299,127,0,3,NULL,"2022-01-19 09:37:01","orphan — draw #127 no longer exists"
2300,127,0,0,NULL,"2022-01-19 09:37:01","orphan — draw #127 no longer exists"
2403,129,0,0,NULL,"2022-04-06 10:48:36","orphan — draw #129 no longer exists"
2404,129,0,0,NULL,"2022-04-06 10:48:36","orphan — draw #129 no longer exists"
2405,129,0,0,NULL,"2022-04-06 10:48:36","orphan — draw #129 no longer exists"
2406,129,0,0,NULL,"2022-04-06 10:48:36","orphan — draw #129 no longer exists"
2407,129,0,0,NULL,"2022-04-06 10:48:36","orphan — draw #129 no longer exists"
2408,129,0,0,NULL,"2022-04-06 10:48:36","orphan — draw #129 no longer exists"
2409,129,0,0,NULL,"2022-04-06 10:48:36","orphan — draw #129 no longer exists"
2410,129,0,0,NULL,"2022-04-06 10:48:36","orphan — draw #129 no longer exists"
2411,129,0,0,NULL,"2022-04-06 10:48:36","orphan — draw #129 no longer exists"
2412,129,0,0,NULL,"2022-04-06 10:48:36","orphan — draw #129 no longer exists"
2413,129,0,1,NULL,"2022-04-06 10:48:43","orphan — draw #129 no longer exists"
2414,129,0,1,NULL,"2022-04-06 10:48:43","orphan — draw #129 no longer exists"
2415,129,0,2,NULL,"2022-04-06 10:48:43","orphan — draw #129 no longer exists"
2416,129,0,2,NULL,"2022-04-06 10:48:43","orphan — draw #129 no longer exists"
8020,239,0,1,NULL,"2023-05-04 22:42:15","orphan — draw #239 no longer exists"
8021,239,0,1,NULL,"2023-05-04 22:42:15","orphan — draw #239 no longer exists"
8022,239,0,2,NULL,"2023-05-04 22:42:15","orphan — draw #239 no longer exists"
8023,239,0,2,NULL,"2023-05-04 22:42:15","orphan — draw #239 no longer exists"
8024,239,0,3,NULL,"2023-05-04 22:42:15","orphan — draw #239 no longer exists"
8025,239,0,3,NULL,"2023-05-04 22:42:15","orphan — draw #239 no longer exists"
8026,239,0,4,NULL,"2023-05-04 22:42:15","orphan — draw #239 no longer exists"
8027,239,0,4,NULL,"2023-05-04 22:42:15","orphan — draw #239 no longer exists"
8028,239,0,5,NULL,"2023-05-04 22:42:15","orphan — draw #239 no longer exists"
8029,239,0,5,NULL,"2023-05-04 22:42:15","orphan — draw #239 no longer exists"
